cache_rate,cache_slots,effective_cache_rate,cache_gib,lower_bound_total_gib,safety_margin_gib,estimated_total_gib,fit_4g,fit_8g,fit_12g,fit_24g,fit_48g,fit_80g
0.0,0,0.0,0.0,10.9921875,0.0,10.9921875,False,False,True,True,True,True
0.001,2,0.0013020833333333333,0.2500762939453125,11.242263793945312,0.0,11.242263793945312,False,False,True,True,True,True
0.01,15,0.009765625,1.8755722045898438,12.867759704589844,0.0,12.867759704589844,False,False,False,True,True,True
0.25,384,0.25,48.0146484375,59.0068359375,0.0,59.0068359375,False,False,False,False,False,True
0.05,77,0.050130208333333336,9.627937316894531,20.62012481689453,0.0,20.62012481689453,False,False,False,True,True,True
0.1,154,0.10026041666666667,19.255874633789062,30.248062133789062,0.0,30.248062133789062,False,False,False,False,True,True
0.125,192,0.125,24.00732421875,34.99951171875,0.0,34.99951171875,False,False,False,False,True,True
0.25,384,0.25,48.0146484375,59.0068359375,0.0,59.0068359375,False,False,False,False,False,True
0.375,576,0.375,72.02197265625,83.01416015625,0.0,83.01416015625,False,False,False,False,False,False
0.5,768,0.5,96.029296875,107.021484375,0.0,107.021484375,False,False,False,False,False,False
0.75,1152,0.75,144.0439453125,155.0361328125,0.0,155.0361328125,False,False,False,False,False,False
1.0,1536,1.0,192.05859375,203.05078125,0.0,203.05078125,False,False,False,False,False,False
