cache_rate,cache_slots,effective_cache_rate,cache_gib,lower_bound_total_gib,safety_margin_gib,estimated_total_gib,fit_4g,fit_8g,fit_12g,fit_24g,fit_48g,fit_80g
0.0,0,0.0,0.0,1.0078125,0.0,1.0078125,True,True,True,True,True,True
0.001,3,0.0009765625,0.046875,1.0546875,0.0,1.0546875,True,True,True,True,True,True
0.01,31,0.010091145833333334,0.484375,1.4921875,0.0,1.4921875,True,True,True,True,True,True
0.25,768,0.25,12.0,13.0078125,0.0,13.0078125,False,False,False,True,True,True
0.05,154,0.050130208333333336,2.40625,3.4140625,0.0,3.4140625,True,True,True,True,True,True
0.1,307,0.09993489583333333,4.796875,5.8046875,0.0,5.8046875,False,True,True,True,True,True
0.125,384,0.125,6.0,7.0078125,0.0,7.0078125,False,True,True,True,True,True
0.25,768,0.25,12.0,13.0078125,0.0,13.0078125,False,False,False,True,True,True
0.375,1152,0.375,18.0,19.0078125,0.0,19.0078125,False,False,False,True,True,True
0.5,1536,0.5,24.0,25.0078125,0.0,25.0078125,False,False,False,False,True,True
0.75,2304,0.75,36.0,37.0078125,0.0,37.0078125,False,False,False,False,True,True
1.0,3072,1.0,48.0,49.0078125,0.0,49.0078125,False,False,False,False,False,True
